Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1498207720917059910,1498204556329,__set_config__,
0,0,admin,1498207722739418983,1498207722776,__page_loaded__,
0,0,3,1498207722906027786,0,__register__,"{""user_id"": ""3""}"
0,0,3,1498207723272552416,1498207723309,__page_loaded__,
0,1,3,1498207723275394768,1498207723312,__set_group__,"{""group"": 1}"
0,0,1,1498207723284203409,0,__register__,"{""user_id"": ""1""}"
0,0,2,1498207723302546777,0,__register__,"{""user_id"": ""2""}"
0,1,1,1498207723373497073,1498207723410,__set_group__,"{""group"": 1}"
0,1,3,1498207723373723348,1498207723410,__set_group__,"{""group"": 1}"
0,1,1,1498207723375360348,1498207723412,__set_group__,"{""group"": 1}"
0,1,2,1498207723375593767,1498207723412,__set_group__,"{""group"": 1}"
0,1,3,1498207723375731532,1498207723412,__set_group__,"{""group"": 1}"
0,0,1,1498207723398773490,1498207723436,__page_loaded__,
0,0,2,1498207723500824842,1498207723537,__page_loaded__,
0,0,4,1498207723697963442,0,__register__,"{""user_id"": ""4""}"
0,0,4,1498207723817074662,1498207723854,__page_loaded__,
0,1,1,1498207723819697766,1498207723857,__set_group__,"{""group"": 1}"
0,1,2,1498207723819916212,1498207723857,__set_group__,"{""group"": 1}"
0,1,3,1498207723820047024,1498207723857,__set_group__,"{""group"": 1}"
0,1,4,1498207723820169432,1498207723857,__set_group__,"{""group"": 1}"
0,0,admin,1498207724809982448,1498207724847,start_session,
0,0,1,1498207724813265612,1498207724850,__set_period__,"{""period"": 0}"
0,0,2,1498207724813526080,1498207724850,__set_period__,"{""period"": 0}"
0,0,3,1498207724813727636,1498207724850,__set_period__,"{""period"": 0}"
0,0,4,1498207724813885189,1498207724850,__set_period__,"{""period"": 0}"
0,0,3,1498207724819292705,1498207724856,__set_page__,"{""page"": ""Wait""}"
0,0,1,1498207724823342544,1498207724860,__set_page__,"{""page"": ""Wait""}"
0,0,2,1498207724826518711,1498207724864,__set_page__,"{""page"": ""Wait""}"
0,0,4,1498207724829463090,1498207724867,__set_page__,"{""page"": ""Wait""}"
0,0,4,1498207725690289893,1498207725728,__page_loaded__,
0,0,3,1498207726076438858,1498207726113,__page_loaded__,
0,0,2,1498207726179802308,1498207726217,__page_loaded__,
0,0,1,1498207726310901743,1498207726348,__page_loaded__,
0,1,1,1498207726312519771,1498207726349,_at_barrier,_on_load_0
0,1,3,1498207726322056106,1498207726359,_at_barrier,_on_load_0
0,1,2,1498207726322667601,1498207726360,_at_barrier,_on_load_0
0,1,4,1498207726325863500,1498207726363,_at_barrier,_on_load_0
0,0,3,1498207726351483768,1498207726389,_next_period,
0,0,2,1498207726353548103,1498207726390,_next_period,
0,0,4,1498207726359209906,1498207726395,_next_period,
0,0,1,1498207726359289657,1498207726392,_next_period,
0,1,3,1498207726361146080,1498207726396,_accumulated_points,0
1,0,3,1498207726361300354,1498207726397,__set_period__,"{""period"": 1}"
1,0,3,1498207726364545010,1498207726401,__set_page__,"{""page"": ""Start""}"
0,1,2,1498207726365213373,1498207726402,_accumulated_points,0
1,0,2,1498207726365347617,1498207726402,__set_period__,"{""period"": 1}"
0,1,1,1498207726367102333,1498207726404,_accumulated_points,0
1,0,1,1498207726367217728,1498207726404,__set_period__,"{""period"": 1}"
0,1,4,1498207726368640531,1498207726406,_accumulated_points,0
1,0,4,1498207726368759493,1498207726406,__set_period__,"{""period"": 1}"
1,0,1,1498207726372389746,1498207726409,__set_page__,"{""page"": ""Start""}"
1,0,4,1498207726374637992,1498207726412,__set_page__,"{""page"": ""Start""}"
1,0,2,1498207726376466654,1498207726413,__set_page__,"{""page"": ""Start""}"
1,0,1,1498207728030776187,1498207728068,__page_loaded__,
1,0,2,1498207728317749562,1498207728355,__page_loaded__,
1,0,4,1498207728589568804,1498207728627,__page_loaded__,
1,0,3,1498207728793989134,1498207728832,__page_loaded__,
1,1,3,1498207728795367533,1498207728833,_at_barrier,_on_load_1
1,1,4,1498207728802264898,1498207728840,_at_barrier,_on_load_1
1,1,2,1498207728803149484,1498207728840,_at_barrier,_on_load_1
